nohup: ignoring input
epsiode: 530, avg_score: 474.0, duration: 417.43862676620483
epsiode: 535, avg_score: 312.0, duration: 290.92561197280884
epsiode: 540, avg_score: 450.0, duration: 376.17227602005005
epsiode: 545, avg_score: 608.0, duration: 383.3019332885742
epsiode: 550, avg_score: 498.0, duration: 392.9240868091583
epsiode: 555, avg_score: 498.0, duration: 402.59371972084045
epsiode: 560, avg_score: 620.0, duration: 347.3062069416046
epsiode: 565, avg_score: 832.0, duration: 440.83094692230225
epsiode: 570, avg_score: 398.0, duration: 372.0173466205597
epsiode: 575, avg_score: 620.0, duration: 325.6162645816803
epsiode: 580, avg_score: 558.0, duration: 339.45384645462036
epsiode: 585, avg_score: 614.0, duration: 393.1924695968628
epsiode: 590, avg_score: 408.0, duration: 337.9508171081543
epsiode: 595, avg_score: 646.0, duration: 368.3371276855469
epsiode: 600, avg_score: 650.0, duration: 396.00864005088806
epsiode: 605, avg_score: 552.0, duration: 396.07728362083435
epsiode: 610, avg_score: 592.0, duration: 389.07638239860535
epsiode: 615, avg_score: 636.0, duration: 398.35815501213074
epsiode: 620, avg_score: 564.0, duration: 387.66313552856445
epsiode: 625, avg_score: 598.0, duration: 411.28777289390564
epsiode: 630, avg_score: 804.0, duration: 397.64811182022095
epsiode: 635, avg_score: 450.0, duration: 383.296023607254
epsiode: 640, avg_score: 494.0, duration: 359.35081672668457
epsiode: 645, avg_score: 324.0, duration: 297.00338077545166
epsiode: 650, avg_score: 536.0, duration: 380.71921610832214
epsiode: 655, avg_score: 522.0, duration: 360.72033643722534
epsiode: 660, avg_score: 450.0, duration: 347.7332270145416
epsiode: 665, avg_score: 516.0, duration: 360.6278786659241
epsiode: 670, avg_score: 384.0, duration: 431.3549094200134
epsiode: 675, avg_score: 372.0, duration: 365.7983238697052
epsiode: 680, avg_score: 580.0, duration: 419.31327772140503
epsiode: 685, avg_score: 792.0, duration: 421.434623003006
epsiode: 690, avg_score: 476.0, duration: 313.7203426361084
epsiode: 695, avg_score: 446.0, duration: 395.02359199523926
epsiode: 700, avg_score: 626.0, duration: 420.5800144672394
epsiode: 705, avg_score: 292.0, duration: 369.03265047073364
epsiode: 710, avg_score: 546.0, duration: 392.16449522972107
